Date,TP,TDP,SRP,SS,SS_min
1992-06-10,29.3,,,5.8,3.9
1992-06-18,35.5,,,6.6,3.0
1992-06-26,30.6,,,5.4,2.0
1992-07-09,30.0,,,3.8,1.9
1992-07-13,36.1,,,6.6,2.7
1992-07-20,38.1,,,4.6,2.0
1992-07-22,33.0,,,5.6,3.1
1992-07-30,28.2,,,3.6,1.8
1992-08-12,24.8,,,3.6,2.4
1992-08-14,214.0,,,122.0,109.0
1992-08-17,94.6,,,24.4,20.6
1992-08-24,54.3,,,14.4,11.4
1992-08-31,66.8,,,14.5,12.3
1992-09-03,74.2,,,16.0,13.8
1992-09-10,75.0,,,8.6,7.2
1992-09-15,57.1,,,14.3,12.4
1992-09-16,103.0,,,27.4,21.8
1992-09-21,50.9,,,7.3,5.9
1992-09-22,41.6,,,6.9,5.7
1992-09-23,24.8,,,6.8,6.6
1992-09-24,27.7,,,6.5,5.2
1992-09-25,31.0,,,6.0,4.8
1992-09-29,28.6,,,5.7,4.3
1992-10-07,26.9,,,5.2,3.9
1992-10-14,26.6,,,4.6,3.2
1992-10-19,77.7,,,28.1,24.9
1992-10-30,33.5,,,5.5,4.8
1992-11-03,790.0,,,643.0,585.0
1992-11-04,259.0,,,124.0,111.0
1992-11-11,30.3,,,9.1,7.1
1992-11-20,92.5,,,32.4,27.2
1992-11-26,154.0,,,84.6,75.8
1992-12-01,316.0,,,192.0,173.0
1992-12-03,597.0,,,500.0,454.0
1992-12-11,82.1,,,6.4,3.6
1992-12-22,31.5,,,10.2,8.5
1993-02-02,97.0,,,47.9,43.3
1993-02-19,34.9,,,7.3,5.9
1993-03-18,646.0,,,597.0,554.0
1993-04-06,56.0,,,14.1,12.8
1993-04-16,33.8,,,10.7,8.7
1993-05-01,31.6,,,14.5,12.3
1993-05-07,37.0,,,15.3,13.3
1993-05-18,39.3,,,13.7,11.2
1993-05-28,49.3,,,11.9,9.3
1993-06-07,37.4,,,6.5,3.9
1993-06-15,36.0,,,7.0,4.5
1993-06-23,42.1,,,8.5,4.6
1993-07-06,26.2,,,5.4,3.3
1993-07-13,38.4,,,8.4,5.3
1993-07-23,39.7,,,6.9,3.9
1993-07-29,41.5,,,9.4,6.8
1993-08-03,50.8,,,9.5,7.2
1993-08-12,91.8,,,23.4,19.6
1993-08-16,56.9,,,14.7,11.8
1993-08-24,35.7,,,11.7,9.6
1993-09-06,30.4,,,7.3,5.6
1993-09-13,35.0,,,6.2,4.6
1993-09-21,29.1,,,4.6,3.2
1993-10-04,32.4,,,3.5,2.3
1993-10-11,80.0,,,20.5,18.1
1993-10-25,23.0,,,5.6,4.3
1993-11-01,21.3,,,3.4,2.4
1993-11-08,28.3,,,5.3,3.8
1993-11-15,201.0,,,84.4,76.0
1993-11-22,25.0,,,5.0,3.8
1993-11-30,23.2,,,3.9,2.8
1993-12-06,61.4,,,17.5,15.3
1993-12-14,20.1,,,4.9,4.0
1993-12-22,29.5,,,10.0,7.9
1994-02-28,31.0,,,3.7,2.2
1994-03-14,76.0,,,13.2,11.5
1994-03-29,96.0,,,59.4,53.1
1994-04-01,273.0,,,218.0,205.0
1994-04-07,104.0,,,39.4,37.2
1994-04-27,23.0,,,10.7,9.1
1994-05-10,29.0,,,7.4,5.5
1994-05-24,25.0,,,7.2,5.2
1994-06-07,38.0,,,4.5,2.4
1994-06-22,25.0,,,3.9,1.8
1994-06-27,24.0,,,3.6,1.6
1994-07-05,29.0,,,4.8,2.2
1994-07-20,32.0,,,2.7,0.9
1994-08-02,27.0,,,3.9,2.3
1994-08-16,41.0,,,7.1,4.6
1994-08-25,54.0,,,7.7,6.0
1994-08-29,86.0,,,14.6,12.7
1994-09-15,53.0,,,12.8,10.8
1994-09-16,247.0,,,206.0,187.0
1994-09-20,32.0,,,6.9,5.6
1994-09-23,32.0,,,5.9,4.6
1994-10-06,28.0,,,4.3,3.7
1994-10-21,23.0,,,4.3,3.5
1994-10-26,177.0,,,49.0,43.3
1994-11-08,28.0,,,9.1,7.8
1994-11-24,135.0,,,34.3,30.3
1994-12-08,244.0,,,144.0,129.0
1994-12-20,79.0,,,52.7,48.0
1995-01-18,114.0,,,33.3,29.6
1995-01-26,23.7,,,4.3,3.5
1995-02-09,28.3,,,5.0,4.2
